数据分组,筛选方法,筛选参数,模型名称,输入参数,最优参数详情,滤波方法,SG阶数,SG窗口,MSC模式,SNV模式,R2_C,R2_P,RMSEC,RMSEP,RPD,数据集MAT路径,X路径,Y路径
SG+MSC+SNV,无,,PCR,200,"主成分数k=181",sg+msc+snv,3,35,first,robust,0.816488089156306,0.630199529728836,1.52162006992099,1.78613981176478,1.65115905600533,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\y.xlsx
SG+MSC+SNV,无,,PLS,默认,"PLS潜变量A=14",sg+msc+snv,3,35,first,robust,0.751506515510948,0.546584215783531,1.77064542735455,1.97778937037149,1.49116026694649,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\y.xlsx
SG+MSC+SNV,无,,RF,默认,"树数=100, 最小叶子节点=1",sg+msc+snv,3,35,first,robust,0.9434401476115,0.717085809325707,0.844750063097439,1.56228076968386,1.88775345809567,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\y.xlsx
SG+MSC+SNV,无,,SVR,fast,"核函数=gaussian, BoxConstraint=10, KernelScale=auto",sg+msc+snv,3,35,first,robust,0.88315024660036,0.814369784018221,1.2141937675283,1.26548224451771,2.33049569700683,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\PREPROCESSED_20260413_210505\y.xlsx
SG+MSC+SNV + CARS筛选,cars,40,PCR,200,"主成分数k=88",sg+msc+snv,3,35,first,robust,0.817353892905118,0.768557674313987,1.53920042789695,1.31032972714428,2.08713839778429,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\y.xlsx
SG+MSC+SNV + CARS筛选,cars,30,PCR,200,"主成分数k=70",sg+msc+snv,3,35,first,robust,0.824174763704631,0.734685946873708,1.49324052972632,1.49339525358555,1.94936207804748,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\y.xlsx
SG+MSC+SNV + CARS筛选,cars,20,PCR,200,"主成分数k=83",sg+msc+snv,3,35,first,robust,0.827200871357646,0.715209673480912,1.48569030006063,1.51134334655979,1.88152513176938,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\y.xlsx
SG+MSC+SNV + CARS筛选,cars,40,PLS,默认,"PLS潜变量A=16",sg+msc+snv,3,35,first,robust,0.811484679561726,0.764420701099967,1.56373548208306,1.3219887640595,2.06873126431348,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\y.xlsx
SG+MSC+SNV + CARS筛选,cars,30,PLS,默认,"PLS潜变量A=17",sg+msc+snv,3,35,first,robust,0.830871399974084,0.719735286906815,1.46452804022312,1.53489563172267,1.89665539122583,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\y.xlsx
SG+MSC+SNV + CARS筛选,cars,20,PLS,默认,"PLS潜变量A=16",sg+msc+snv,3,35,first,robust,0.821628360874674,0.712862193393597,1.50945585186982,1.51755944130667,1.87381819247636,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\y.xlsx
SG+MSC+SNV + CARS筛选,cars,40,RF,默认,"树数=100, 最小叶子节点=1",sg+msc+snv,3,35,first,robust,0.94687857525604,0.787013860461319,0.830089313111339,1.25699882703722,2.17568976872246,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\y.xlsx
SG+MSC+SNV + CARS筛选,cars,30,RF,默认,"树数=200, 最小叶子节点=1",sg+msc+snv,3,35,first,robust,0.947844581470054,0.75439367264062,0.813277732736802,1.43685986835103,2.02606262378021,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\y.xlsx
SG+MSC+SNV + CARS筛选,cars,20,RF,默认,"树数=100, 最小叶子节点=1",sg+msc+snv,3,35,first,robust,0.95013825868838,0.723705776272479,0.798070457067916,1.48862882595998,1.91023473393437,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\y.xlsx
SG+MSC+SNV + CARS筛选,cars,40,SVR,fast,"核函数=gaussian, BoxConstraint=10, KernelScale=auto",sg+msc+snv,3,35,first,robust,0.884666093463287,0.846805985804769,1.22311830727702,1.06605619841388,2.56538022230913,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210731\y.xlsx
SG+MSC+SNV + CARS筛选,cars,20,SVR,fast,"核函数=gaussian, BoxConstraint=10, KernelScale=auto",sg+msc+snv,3,35,first,robust,0.890560649465237,0.820815896838928,1.18234513126632,1.19880973321726,2.37204487959337,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210628\y.xlsx
SG+MSC+SNV + CARS筛选,cars,30,SVR,fast,"核函数=gaussian, BoxConstraint=10, KernelScale=auto",sg+msc+snv,3,35,first,robust,0.898198189709661,0.820288643738129,1.13623173421532,1.22908636398137,2.36856266588595,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\dataset.mat,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\X.xlsx,D:\HXR\Matlab\Result\Dataset\a_\SELECTED_CARS_20260413_210659\y.xlsx
